character,state,probability
c0,-1,0.133333333333333
c0,1,0.266666666666667
c0,3,0.533333333333333
c0,4,0.0666666666666667
c1,-1,0.366666666666667
c1,1,0.433333333333333
c1,2,0.0666666666666667
c1,3,0.133333333333333
c2,-1,0.0666666666666667
c2,1,0.533333333333333
c2,3,0.4
c3,-1,0.3
c3,1,0.333333333333333
c3,2,0.1
c3,3,0.266666666666667
c4,-1,0.233333333333333
c4,1,0.566666666666667
c4,3,0.166666666666667
c4,4,0.0333333333333333
c5,-1,0.3
c5,1,0.466666666666667
c5,2,0.1
c5,3,0.1
c5,4,0.0333333333333333
c6,-1,0.366666666666667
c6,1,0.466666666666667
c6,3,0.1
c6,4,0.0666666666666667
c7,-1,0.0666666666666667
c7,1,0.766666666666667
c7,2,0.0333333333333333
c7,3,0.0666666666666667
c7,4,0.0666666666666667
c8,-1,0.166666666666667
c8,1,0.533333333333333
c8,3,0.3
c9,-1,0.3
c9,1,0.566666666666667
c9,3,0.133333333333333
c10,-1,0.333333333333333
c10,1,0.633333333333333
c10,3,0.0333333333333333
c11,-1,0.333333333333333
c11,1,0.5
c11,3,0.133333333333333
c11,4,0.0333333333333333
c12,-1,0.233333333333333
c12,1,0.6
c12,3,0.166666666666667
c13,-1,0.333333333333333
c13,1,0.333333333333333
c13,2,0.0333333333333333
c13,3,0.2
c13,4,0.1
c14,-1,0.133333333333333
c14,1,0.6
c14,2,0.0666666666666667
c14,3,0.2
c15,-1,0.1
c15,1,0.8
c15,3,0.1
c16,-1,0.366666666666667
c16,1,0.466666666666667
c16,3,0.166666666666667
c17,-1,0.566666666666667
c17,1,0.266666666666667
c17,2,0.0666666666666667
c17,3,0.1
c18,-1,0.233333333333333
c18,3,0.766666666666667
c19,-1,0.333333333333333
c19,1,0.333333333333333
c19,2,0.0333333333333333
c19,3,0.3
c20,-1,0.333333333333333
c20,1,0.533333333333333
c20,2,0.0333333333333333
c20,3,0.1
c21,-1,0.133333333333333
c21,2,0.1
c21,3,0.766666666666667
c22,-1,0.2
c22,1,0.566666666666667
c22,3,0.233333333333333
c23,-1,0.233333333333333
c23,1,0.566666666666667
c23,3,0.166666666666667
c23,4,0.0333333333333333
c24,-1,0.433333333333333
c24,1,0.333333333333333
c24,2,0.0333333333333333
c24,3,0.2
c25,-1,0.233333333333333
c25,1,0.466666666666667
c25,2,0.1
c25,3,0.2
c26,-1,0.2
c26,1,0.766666666666667
c26,3,0.0333333333333333
c27,-1,0.533333333333333
c27,1,0.233333333333333
c27,3,0.233333333333333
c28,-1,0.3
c28,1,0.3
c28,2,0.0666666666666667
c28,3,0.333333333333333
c29,1,0.833333333333333
c29,3,0.133333333333333
c29,4,0.0333333333333333
c30,-1,0.266666666666667
c30,1,0.533333333333333
c30,2,0.0666666666666667
c30,3,0.133333333333333
c31,-1,0.166666666666667
c31,1,0.766666666666667
c31,2,0.0333333333333333
c31,3,0.0333333333333333
c32,-1,0.366666666666667
c32,1,0.5
c32,3,0.1
c32,4,0.0333333333333333
c33,-1,0.166666666666667
c33,1,0.633333333333333
c33,2,0.0333333333333333
c33,3,0.166666666666667
c34,-1,0.166666666666667
c34,1,0.7
c34,2,0.0666666666666667
c34,3,0.0666666666666667
c35,-1,0.233333333333333
c35,1,0.6
c35,2,0.0333333333333333
c35,3,0.133333333333333
c36,-1,0.2
c36,1,0.566666666666667
c36,3,0.233333333333333
c37,-1,0.266666666666667
c37,1,0.266666666666667
c37,2,0.1
c37,3,0.3
c37,4,0.0666666666666667
c38,-1,0.466666666666667
c38,1,0.466666666666667
c38,3,0.0666666666666667
c39,-1,0.333333333333333
