character,state,probability
c0,-1,0.037037037037037
c0,1,0.37037037037037
c0,2,0.0740740740740741
c0,3,0.407407407407407
c0,4,0.111111111111111
c1,-1,0.333333333333333
c1,1,0.407407407407407
c1,2,0.037037037037037
c1,3,0.222222222222222
c2,-1,0.185185185185185
c2,1,0.185185185185185
c2,2,0.037037037037037
c2,3,0.592592592592593
c3,-1,0.444444444444444
c3,1,0.148148148148148
c3,2,0.037037037037037
c3,3,0.37037037037037
c4,-1,0.222222222222222
c4,3,0.777777777777778
c5,-1,0.0740740740740741
c5,1,0.666666666666667
c5,2,0.185185185185185
c5,3,0.0740740740740741
c6,-1,0.407407407407407
c6,1,0.0740740740740741
c6,2,0.037037037037037
c6,3,0.481481481481481
c7,-1,0.111111111111111
c7,1,0.407407407407407
c7,2,0.0740740740740741
c7,3,0.407407407407407
c8,3,1
c9,-1,0.259259259259259
c9,1,0.0740740740740741
c9,3,0.666666666666667
c10,-1,0.185185185185185
c10,1,0.481481481481481
c10,2,0.037037037037037
c10,3,0.296296296296296
c11,-1,0.185185185185185
c11,1,0.444444444444444
c11,2,0.037037037037037
c11,3,0.333333333333333
c12,-1,0.222222222222222
c12,1,0.222222222222222
c12,3,0.555555555555556
c13,-1,0.222222222222222
c13,1,0.222222222222222
c13,2,0.0740740740740741
c13,3,0.481481481481481
c14,-1,0.148148148148148
c14,3,0.851851851851852
c15,-1,0.037037037037037
c15,1,0.444444444444444
c15,3,0.518518518518518
c16,-1,0.37037037037037
c16,1,0.259259259259259
c16,3,0.37037037037037
c17,-1,0.37037037037037
c17,1,0.37037037037037
c17,3,0.148148148148148
c17,4,0.111111111111111
c18,-1,0.296296296296296
c18,1,0.444444444444444
c18,3,0.259259259259259
c19,-1,0.37037037037037
c19,1,0.259259259259259
c19,3,0.37037037037037
c20,-1,0.259259259259259
c20,2,0.111111111111111
c20,3,0.62962962962963
c21,-1,0.333333333333333
c21,1,0.0740740740740741
c21,2,0.0740740740740741
c21,3,0.518518518518518
c22,-1,0.222222222222222
c22,1,0.444444444444444
c22,3,0.259259259259259
c22,4,0.0740740740740741
c23,-1,0.0740740740740741
c23,1,0.407407407407407
c23,3,0.518518518518518
c24,-1,0.222222222222222
c24,2,0.037037037037037
c24,3,0.740740740740741
c25,-1,0.148148148148148
c25,2,0.0740740740740741
c25,3,0.555555555555556
c25,4,0.222222222222222
c26,-1,0.37037037037037
c26,1,0.407407407407407
c26,3,0.222222222222222
c27,-1,0.185185185185185
c27,1,0.555555555555556
c27,3,0.259259259259259
c28,-1,0.0740740740740741
c28,1,0.481481481481481
c28,2,0.037037037037037
c28,3,0.407407407407407
c29,-1,0.111111111111111
c29,1,0.444444444444444
c29,2,0.037037037037037
c29,3,0.407407407407407
c30,-1,0.444444444444444
c30,1,0.296296296296296
c30,2,0.0740740740740741
c30,3,0.185185185185185
c31,-1,0.0740740740740741
c31,3,0.925925925925926
c32,-1,0.185185185185185
c32,1,0.740740740740741
c32,3,0.0740740740740741
c33,-1,0.0740740740740741
c33,1,0.444444444444444
c33,2,0.111111111111111
c33,3,0.259259259259259
c33,4,0.111111111111111
c34,-1,0.0740740740740741
c34,1,0.666666666666667
c34,2,0.0740740740740741
c34,3,0.185185185185185
c35,-1,0.222222222222222
c35,1,0.703703703703704
c35,2,0.037037037037037
c35,3,0.037037037037037
c36,-1,0.481481481481481
c36,1,0.222222222222222
c36,3,0.259259259259259
c36,4,0.037037037037037
c37,-1,0.333333333333333
c37,1,0.185185185185185
c37,2,0.185185185185185
c37,3,0.296296296296296
c38,-1,0.333333333333333
c38,1,0.296296296296296
c38,2,0.0740740740740741
c38,3,0.296296296296296
c39,-1,0.555555555555556
c39,1,0.222222222222222
c39,3,0.222222222222222
c40,-1,0.148148148148148
c40,1,0.444444444444444
c40,2,0.148148148148148
c40,3,0.259259259259259
c41,-1,0.185185185185185
c41,1,0.592592592592593
c41,2,0.0740740740740741
c41,3,0.148148148148148
c42,-1,0.259259259259259
c42,1,0.37037037037037
c42,2,0.037037037037037
c42,3,0.333333333333333
c43,-1,0.185185185185185
c43,1,0.037037037037037
c43,2,0.185185185185185
c43,3,0.592592592592593
c44,-1,0.222222222222222
c44,2,0.037037037037037
c44,3,0.740740740740741
c45,-1,0.296296296296296
c45,1,0.592592592592593
c45,4,0.111111111111111
c46,-1,0.185185185185185
c46,1,0.481481481481481
c46,2,0.111111111111111
c46,3,0.222222222222222
c47,-1,0.0740740740740741
c47,1,0.62962962962963
c47,3,0.296296296296296
c48,-1,0.444444444444444
c48,1,0.518518518518518
c48,2,0.037037037037037
c49,-1,0.222222222222222
c49,1,0.555555555555556
c49,3,0.222222222222222
c50,-1,0.0740740740740741
c50,1,0.37037037037037
c50,2,0.148148148148148
c50,3,0.407407407407407
c51,-1,0.333333333333333
c51,1,0.333333333333333
c51,2,0.222222222222222
c51,3,0.111111111111111
c52,-1,0.296296296296296
c52,1,0.555555555555556
c52,3,0.148148148148148
c53,-1,0.111111111111111
c53,1,0.814814814814815
c53,3,0.0740740740740741
c54,-1,0.222222222222222
c54,1,0.259259259259259
c54,3,0.407407407407407
c54,4,0.111111111111111
c55,-1,0.259259259259259
c55,1,0.592592592592593
c55,3,0.148148148148148
c56,-1,0.666666666666667
c56,1,0.333333333333333
c57,-1,0.407407407407407
c57,1,0.481481481481481
c57,2,0.037037037037037
c57,3,0.0740740740740741
c58,-1,0.259259259259259
c58,1,0.703703703703704
c58,3,0.037037037037037
c59,-1,0.333333333333333
c59,1,0.407407407407407
c59,2,0.037037037037037
c59,3,0.222222222222222
c60,-1,0.148148148148148
c60,1,0.555555555555556
c60,2,0.037037037037037
c60,3,0.259259259259259
c61,-1,0.222222222222222
c61,1,0.777777777777778
c62,-1,0.185185185185185
c62,1,0.333333333333333
c62,2,0.037037037037037
c62,3,0.444444444444444
c63,-1,0.444444444444444
c63,1,0.481481481481481
c63,3,0.0740740740740741
c64,-1,0.259259259259259
c64,1,0.444444444444444
c64,2,0.111111111111111
c64,3,0.185185185185185
c65,-1,0.185185185185185
c65,1,0.481481481481481
c65,2,0.111111111111111
c65,3,0.222222222222222
c66,-1,0.037037037037037
c66,1,0.851851851851852
c66,2,0.0740740740740741
c66,3,0.037037037037037
c67,-1,0.333333333333333
c67,1,0.555555555555556
c67,2,0.037037037037037
c67,3,0.037037037037037
c67,4,0.037037037037037
c68,-1,0.185185185185185
c68,1,0.666666666666667
c68,2,0.037037037037037
c68,3,0.037037037037037
c68,4,0.0740740740740741
c69,-1,0.444444444444444
c69,1,0.481481481481481
c69,2,0.037037037037037
c69,3,0.037037037037037
c70,-1,0.222222222222222
c70,1,0.666666666666667
c70,2,0.037037037037037
c70,3,0.037037037037037
c70,4,0.037037037037037
c71,-1,0.0740740740740741
c71,1,0.851851851851852
c71,2,0.0740740740740741
c72,-1,0.407407407407407
c72,1,0.555555555555556
c72,2,0.037037037037037
c73,-1,0.111111111111111
c73,1,0.851851851851852
c73,3,0.037037037037037
c74,1,0.962962962962963
c74,3,0.037037037037037
c75,-1,0.259259259259259
c75,1,0.740740740740741
c76,-1,0.185185185185185
c76,1,0.814814814814815
c77,-1,0.185185185185185
c77,1,0.666666666666667
c77,2,0.037037037037037
c77,3,0.037037037037037
c77,4,0.0740740740740741
c78,-1,0.222222222222222
c78,1,0.740740740740741
c78,2,0.037037037037037
c79,-1,0.222222222222222
c79,1,0.666666666666667
c79,3,0.037037037037037
c79,4,0.0740740740740741
c80,-1,0.148148148148148
c80,1,0.777777777777778
c80,2,0.037037037037037
c80,4,0.037037037037037
c81,-1,0.037037037037037
c81,1,0.962962962962963
c82,-1,0.37037037037037
c82,1,0.592592592592593
c82,4,0.037037037037037
c83,-1,0.37037037037037
c83,1,0.592592592592593
c83,3,0.037037037037037
c84,-1,0.296296296296296
c84,1,0.555555555555556
c84,3,0.037037037037037
c84,4,0.111111111111111
c85,-1,0.37037037037037
c85,1,0.592592592592593
c85,2,0.037037037037037
c86,-1,0.259259259259259
c86,1,0.703703703703704
c86,2,0.037037037037037
c87,-1,0.333333333333333
c87,1,0.666666666666667
c88,-1,0.222222222222222
c88,1,0.703703703703704
c88,3,0.0740740740740741
c89,-1,0.0740740740740741
c89,1,0.333333333333333
c89,3,0.148148148148148
c89,4,0.444444444444444
c90,-1,0.222222222222222
c90,1,0.777777777777778
c91,-1,0.148148148148148
c91,1,0.740740740740741
c91,2,0.037037037037037
c91,3,0.037037037037037
c91,4,0.037037037037037
c92,-1,0.37037037037037
c92,1,0.62962962962963
c93,-1,0.185185185185185
c93,1,0.703703703703704
c93,2,0.037037037037037
c93,3,0.037037037037037
c93,4,0.037037037037037
c94,-1,0.0740740740740741
c94,1,0.851851851851852
c94,2,0.037037037037037
c94,3,0.037037037037037
c95,-1,0.111111111111111
c95,1,0.703703703703704
c95,2,0.037037037037037
c95,3,0.148148148148148
c96,-1,0.444444444444444
c96,1,0.555555555555556
c97,-1,0.0740740740740741
c97,1,0.888888888888889
c97,3,0.037037037037037
c98,-1,0.185185185185185
c98,1,0.740740740740741
c98,3,0.037037037037037
c98,4,0.037037037037037
c99,-1,0.0740740740740741
c99,1,0.592592592592593
c99,4,0.333333333333333
c100,-1,0.0740740740740741
c100,1,0.555555555555556
c100,2,0.037037037037037
c100,3,0.333333333333333
c101,-1,0.222222222222222
c101,1,0.62962962962963
c101,2,0.148148148148148
c102,-1,0.481481481481481
c102,1,0.444444444444444
c102,3,0.037037037037037
c102,4,0.037037037037037
c103,-1,0.333333333333333
c103,1,0.555555555555556
c103,2,0.037037037037037
c103,3,0.037037037037037
c103,4,0.037037037037037
c104,-1,0.333333333333333
c104,1,0.62962962962963
c104,4,0.037037037037037
c105,-1,0.555555555555556
c105,1,0.333333333333333
c105,2,0.037037037037037
c105,3,0.037037037037037
c105,4,0.037037037037037
c106,-1,0.148148148148148
c106,1,0.814814814814815
c106,3,0.037037037037037
c107,-1,0.185185185185185
c107,1,0.740740740740741
c107,2,0.0740740740740741
c108,-1,0.259259259259259
c108,1,0.740740740740741
c109,-1,0.185185185185185
c109,1,0.703703703703704
c109,2,0.0740740740740741
c109,4,0.037037037037037
c110,-1,0.222222222222222
c110,1,0.740740740740741
c110,3,0.037037037037037
c111,-1,0.296296296296296
c111,1,0.703703703703704
c112,-1,0.185185185185185
c112,1,0.740740740740741
c112,2,0.037037037037037
c112,4,0.037037037037037
c113,-1,0.0740740740740741
c113,1,0.851851851851852
c113,3,0.0740740740740741
c114,-1,0.444444444444444
c114,1,0.555555555555556
c115,-1,0.222222222222222
c115,1,0.259259259259259
c115,3,0.481481481481481
c115,4,0.037037037037037
c116,-1,0.0740740740740741
c116,1,0.925925925925926
c117,-1,0.333333333333333
c117,1,0.666666666666667
c118,-1,0.296296296296296
c118,1,0.666666666666667
c118,3,0.037037037037037
c119,-1,0.111111111111111
c119,1,0.555555555555556
c119,3,0.037037037037037
c119,4,0.296296296296296
c120,-1,0.222222222222222
c120,1,0.703703703703704
c120,3,0.037037037037037
c120,4,0.037037037037037
c121,-1,0.259259259259259
c121,1,0.703703703703704
c121,2,0.037037037037037
c122,-1,0.666666666666667
c122,1,0.333333333333333
c123,-1,0.407407407407407
c123,1,0.555555555555556
c123,2,0.037037037037037
c124,-1,0.259259259259259
c124,1,0.592592592592593
c124,2,0.148148148148148
c125,-1,0.333333333333333
c125,1,0.444444444444444
c125,2,0.037037037037037
c125,3,0.0740740740740741
c125,4,0.111111111111111
c126,-1,0.148148148148148
c126,1,0.777777777777778
c126,3,0.0740740740740741
c127,-1,0.222222222222222
c127,1,0.777777777777778
c128,-1,0.185185185185185
c128,1,0.777777777777778
c128,2,0.037037037037037
c129,-1,0.444444444444444
c129,1,0.407407407407407
c129,2,0.111111111111111
c129,3,0.037037037037037
c130,-1,0.259259259259259
c130,1,0.62962962962963
c130,2,0.0740740740740741
c130,3,0.037037037037037
c131,-1,0.185185185185185
c131,1,0.740740740740741
c131,3,0.0740740740740741
c132,-1,0.037037037037037
c132,1,0.555555555555556
c132,2,0.37037037037037
c132,3,0.037037037037037
c133,-1,0.333333333333333
c133,1,0.62962962962963
c133,2,0.037037037037037
c134,-1,0.185185185185185
c134,1,0.481481481481481
c134,2,0.148148148148148
c134,3,0.111111111111111
c134,4,0.0740740740740741
c135,-1,0.444444444444444
c135,1,0.481481481481481
c135,2,0.037037037037037
c135,3,0.037037037037037
c136,-1,0.222222222222222
c136,1,0.703703703703704
c136,3,0.0740740740740741
c137,-1,0.0740740740740741
c137,1,0.777777777777778
c137,4,0.148148148148148
c138,-1,0.407407407407407
c138,1,0.592592592592593
c139,-1,0.111111111111111
c139,1,0.703703703703704
c139,2,0.185185185185185
c140,1,1
c141,-1,0.259259259259259
c141,1,0.703703703703704
c141,2,0.037037037037037
c142,-1,0.185185185185185
c142,1,0.814814814814815
c143,-1,0.185185185185185
c143,1,0.592592592592593
c143,4,0.222222222222222
c144,-1,0.222222222222222
c144,1,0.666666666666667
c144,2,0.111111111111111
c145,-1,0.222222222222222
c145,1,0.777777777777778
c146,-1,0.148148148148148
c146,1,0.851851851851852
c147,-1,0.037037037037037
c147,1,0.185185185185185
c147,2,0.037037037037037
c147,3,0.296296296296296
c147,4,0.444444444444444
c148,-1,0.37037037037037
c148,1,0.62962962962963
c149,-1,0.37037037037037
c149,1,0.592592592592593
c149,2,0.037037037037037
c150,-1,0.296296296296296
c150,1,0.259259259259259
c150,2,0.037037037037037
c150,3,0.407407407407407
c151,-1,0.37037037037037
c151,1,0.555555555555556
c151,2,0.037037037037037
c151,3,0.037037037037037
c152,-1,0.259259259259259
c152,1,0.703703703703704
c152,2,0.037037037037037
c153,-1,0.333333333333333
c153,1,0.62962962962963
c153,2,0.037037037037037
c154,-1,0.222222222222222
c154,1,0.407407407407407
c154,2,0.296296296296296
c154,3,0.0740740740740741
c155,-1,0.0740740740740741
c155,1,0.740740740740741
c155,2,0.0740740740740741
c155,3,0.037037037037037
c155,4,0.0740740740740741
c156,-1,0.222222222222222
c156,1,0.740740740740741
c156,2,0.037037037037037
c157,-1,0.148148148148148
c157,1,0.740740740740741
c157,2,0.111111111111111
c158,-1,0.37037037037037
c158,1,0.62962962962963
c159,-1,0.185185185185185
c159,1,0.777777777777778
c159,2,0.037037037037037
c160,-1,0.0740740740740741
c160,1,0.740740740740741
c160,3,0.037037037037037
c160,4,0.148148148148148
c161,-1,0.111111111111111
c161,1,0.814814814814815
c161,2,0.037037037037037
c161,4,0.037037037037037
c162,-1,0.444444444444444
c162,1,0.259259259259259
c162,3,0.037037037037037
c162,4,0.259259259259259
c163,-1,0.0740740740740741
c163,1,0.518518518518518
c163,2,0.259259259259259
c163,3,0.148148148148148
c164,-1,0.185185185185185
c164,1,0.777777777777778
c164,3,0.037037037037037
c165,-1,0.0740740740740741
c165,1,0.407407407407407
c165,2,0.296296296296296
c165,3,0.148148148148148
c165,4,0.0740740740740741
c166,-1,0.0740740740740741
c166,1,0.851851851851852
c166,2,0.037037037037037
c166,4,0.037037037037037
c167,-1,0.222222222222222
c167,1,0.740740740740741
c167,2,0.037037037037037
c168,-1,0.481481481481481
c168,1,0.481481481481481
c168,2,0.037037037037037
c169,-1,0.333333333333333
c169,1,0.592592592592593
c169,2,0.0740740740740741
c170,-1,0.333333333333333
c170,1,0.481481481481481
c170,2,0.037037037037037
c170,3,0.111111111111111
c170,4,0.037037037037037
c171,-1,0.555555555555556
c171,1,0.259259259259259
c171,3,0.185185185185185
c172,-1,0.148148148148148
c172,1,0.777777777777778
c172,2,0.037037037037037
c172,3,0.037037037037037
c173,-1,0.185185185185185
c173,1,0.777777777777778
c173,4,0.037037037037037
c174,-1,0.259259259259259
c174,1,0.407407407407407
c174,2,0.148148148148148
c174,4,0.185185185185185
c175,-1,0.185185185185185
c175,1,0.444444444444444
c175,2,0.296296296296296
c175,3,0.037037037037037
